Ten,Gia ban,Nhom,So lg.,Ma vach,Gia nhap,DpH,
.Cips grilovane 77g,24.9,13 -- Potraviny,0,8595606200913,12.9,12,
2Jumbo vafle 78g,12.9,08 -- Maso - Uzeniny,0,8710615077183,0,,
7 Days 60g,10.9,13 -- Potraviny,0,201360527205,0,,
Amylon bramborove knedliky,32.9,13 -- Potraviny,0,8594006664042,0,,
Aro Mandle  100g,17.9,13 -- Potraviny,0,8594011982810,0,,
aro Maslo 250g,24.9,13 -- Potraviny,0,8593803421421,0,,
big shock apple 500ml,28.9,09 -- Napoje,0,8594033174859,0,21,
bono 1250g,39.9,13 -- Potraviny,0,5900950442347,0,,
cinsky caj,14.9,13 -- Potraviny,0,8594004172471,0,,
Coca Cola - Cherry 1L,26.9,13 -- Potraviny,0,5449000028853,20.8,,
Coca light 2l,33.9,09 -- Napoje,0,5449000050229,0,,
elektryc airwick 19ml,119,04 -- Drogerie,0,5900627062984,0,,
Gel fresh lavender 150g,32.9,04 -- Drogerie,-5,5900785890184,0,21,
Horcice plnotucna ceska cena 200g,7.9,13 -- Potraviny,0,8594000771838,0,,
jacobs Gold 200g,189,09 -- Napoje,0,8590160891652,0,,
Jarni Cibule,17.9,13 -- Potraviny,0,34,0,,
Karina Trauben Nuss 200g,49.9,13 -- Potraviny,0,4001743019249,0,,
Kimchi ins.po 85g,9.9,13 -- Potraviny,0,8934563104177,0,,
Kinley Tonic Water 1L,26.9,09 -- Napoje,0,5449000021779,0,,
Mandarinky (Spanelsko) 1 jakost,29.9,11 -- Ovoce - Zelenina,0,qu,0,,
Micci Ultra wings top dry 9ks,25.9,04 -- Drogerie,0,8594004300560,0,,
Mleko polotucne 1l,22.9,09 -- Napoje,0,4300175757546,0,,
naplasty 10ks,24.9,04 -- Drogerie,0,4260206623915,0,,
naplasty 10ks detske pirat,24.9,04 -- Drogerie,0,4260206622642,0,,
naplasty DOU BANG,29.9,04 -- Drogerie,0,8591121914076,0,,
NIVA igor gorgonzola 150g,34.9,13 -- Potraviny,0,8021398443882,0,,
NUSS Milky Compound chocolate,2.5,13 -- Potraviny,0,8693029250215,0,,
Palette N6,79.9,04 -- Drogerie,-1,3838824159614,69,21,
perun sezam loupany 100g,19.9,13 -- Potraviny,0,8594014782943,0,,
pomeranc (kg),45.9,11 -- Ovoce - Zelenina,0,ca,0,,
Pribinacek velky banan. 125g,21.9,13 -- Potraviny,0,8594008359113,0,,
Rajcata,129,11 -- Ovoce - Zelenina,0,cc2,0,,
schwarzwalder schinken 100g,32.9,13 -- Potraviny,0,4335896305936,0,,
staropramen 500ml,19.9,01 -- Alkohol - Pivo - Víno,0,8593868003891,0,,
svicky 6 ks,16.9,04 -- Drogerie,0,5903856971485,15,,
tabak route 66,229,02 -- Cigarety - Tabak - Mobil,0,4030700059851,0,,
TOMA Slice citron 2l,14.9,09 -- Napoje,0,8594004630223,0,,
Vesela sunka 100g,28.9,13 -- Potraviny,0,8594026123567,0,,
!  Lina 60g arasidova horka,18.9,13 -- Potraviny,-6,8584004021404,0,12,
! kmotrova cabajka,29.9,13 -- Potraviny,-103,8594007484786,0,12,
! kunin selsky jogurt 200g,14.9,13 -- Potraviny,0,8594002783792,0,,
! Kureci parky se syrem 300g,26.9,13 -- Potraviny,0,8595006319024,19.9,,
! Madeta Zlata Niva 110g,32.9,13 -- Potraviny,0,8593803336442,0,12,
! Smetanovy jogurt 150g,12.9,13 -- Potraviny,0,8594003029233,,,
!!!EIDAM blocek 45% 250g,44.9,13 -- Potraviny,0,8594052743678,,,
!!!LAYS bacon 130g !,39.9,13 -- Potraviny,-12,5900259096906,,,
!!alpro 1l,79.9,09 -- Napoje,-8,5411188115519,,,
!!Magnum chocolate &hazenut 90ml,39.9,13 -- Potraviny,0,8714100636220,,,
!!Maslo 250g,64.9,13 -- Potraviny,0,4056489108375,,,
!!Orbit peprmint 64g,54.9,13 -- Potraviny,-6,4009900412087,0,,
!!Samyang nudle 140g,49.9,13 -- Potraviny,-60,8801073113428,,,
!!Snickers 50g.,17.9,13 -- Potraviny,-460,5000159461122,7.9,,
!!Tatra kravik 250ml,19.9,13 -- Potraviny,-12,8594006844505,0,,
!Adriana spagety 5* 500g,44.9,13 -- Potraviny,-72,8594002270506,0,,
!Bersi syrove koule 120g,29.9,13 -- Potraviny,-300,8594001192816,0,,
!Bohemia slanina 70g,27.9,13 -- Potraviny,-83,8595606206144,,,
!Březňák 2l,54.9,01 -- Alkohol - Pivo - Víno,-38,8591036551441,0,,
!Coca light 1l,26.9,09 -- Napoje,0,5449000016560,0,,
!delissa  horka  33g,9.9,13 -- Potraviny,-104,7613036268653,,12,
!DESPERANDOS mojito 500ml,29.9,01 -- Alkohol - Pivo - Víno,0,8586000986916,,,
!Dezert  200g,13.9,13 -- Potraviny,-217,8593807597498,0,,
!Dr.oetker extra zelirovaci cukr 2:1 500g,44.9,13 -- Potraviny,0,8595072600415,0,,
!Fanta apple 333ml,24.9,11 -- Ovoce - Zelenina,0,049000028898,0,,
!Flint 50g,12.9,13 -- Potraviny,-108,8592794011512,0,,
!Florian liskovy orisek 150g,14.9,13 -- Potraviny,-78,8593807567118,0,,
!Florian meruHka 150g,15.9,13 -- Potraviny,-81,8593807567156,0,,
!Giana spanelske olivy 200ml,24.9,13 -- Potraviny,-12,8594012795372,0,,
!Hodonin dornfelder 0.75l,119,01 -- Alkohol - Pivo - Víno,0,8595625602439,,,
!Houskovy knedlik 600g,36.9,13 -- Potraviny,-149,8594017540212,0,,
!Kefirove mleko visHove 450g,26.9,13 -- Potraviny,-6,8594003024054,0,,
!KIKKOMAN SOY SAUCE 150ML,99,13 -- Potraviny,-28,8715035130104,,,
!Lindt mlecna cokolada 100g,59.9,13 -- Potraviny,-16,3046920011013,0,12,
!Long chips 75g,29.9,13 -- Potraviny,-105,4750127300748,,,
!Long chips 75g,29.9,13 -- Potraviny,-47,4750127300724,,,
!Milka orechy 100g,32.9,13 -- Potraviny,-88,4025700001023,16.39,12,
!MM peanut 45g,22.9,13 -- Potraviny,-204,5900951140310,0,12,
!Orion oriskova 100g,29.9,13 -- Potraviny,0,8593893110588,0,,
!Orion studentska hruska 180g .,44.9,13 -- Potraviny,0,8593893721944,0,12,
!Orion studentska malina 180g ',44.9,13 -- Potraviny,0,8593893729735,0,,
!PANZANI kolinka 500g,44.9,13 -- Potraviny,-38,3038359004971,,,
!Pringles 190g,54.9,13 -- Potraviny,0,5053990148134,,,
!Schinken100g,39.9,13 -- Potraviny,-19,4003419002500,0,12,
!SNICKERS WHITE  49g,14.9,13 -- Potraviny,0,5000159492539,,,
!Svijany svetly 0.5l( 5.6%alk ),22.9,01 -- Alkohol - Pivo - Víno,0,8594030013151,,,
!Syrove koule 120g,29.9,13 -- Potraviny,-135,8594001193578,,,
!Toustovy chleb 500g,29.9,13 -- Potraviny,0,8594161743545,,,
