ean	name	price	group	amount	unit		
8595606200913	.Cips grilovane 77g	24.90	1	77	g		
8710615077183	2Jumbo vafle 78g	12.90	4	78	g		
201360527205	7 Days 60g	10.90	1	60	g		
8594006664042	Amylon bramborove knedliky	32.90	1	1	pcs		
8594011982810	Aro Mandle  100g	17.90	1	100	g		
8593803421421	aro Maslo 250g	24.90	1	250	g		
8594033174859	big shock apple 500ml	28.90	9	500	ml		
5900950442347	bono 1250g	39.90	1	1250	g		
8594004172471	cinsky caj	14.90	1	1	pcs		
5449000028853	Coca Cola - Cherry 1L	26.90	1	1	l		
5449000050229	Coca light 2l	33.90	9	2	l		
5900627062984	elektryc airwick 19ml	119.00	11	19	ml		
5900785890184	Gel fresh lavender 150g	32.90	11	150	g		
8594000771838	Horcice plnotucna ceska cena 200g	7.90	1	200	g		
8590160891652	jacobs Gold 200g	189.00	9	200	g		
4001743019249	Karina Trauben Nuss 200g	49.90	1	200	g		
8934563104177	Kimchi ins.po 85g	9.90	1	85	g		
5449000021779	Kinley Tonic Water 1L	26.90	9	1	l		
8594004300560	Micci Ultra wings top dry 9ks	25.90	11	9	pcs		
4300175757546	Mleko polotucne 1l	22.90	9	1	l		
4260206623915	naplasty 10ks	24.90	11	10	pcs		
4260206622642	naplasty 10ks detske pirat	24.90	11	10	pcs		
8591121914076	naplasty DOU BANG	29.90	11	1	pcs		
8021398443882	NIVA igor gorgonzola 150g	34.90	1	150	g		
8693029250215	NUSS Milky Compound chocolate	2.50	1	1	pcs		
3838824159614	Palette N6	79.90	11	1	pcs		
8594014782943	perun sezam loupany 100g	19.90	1	100	g		
8594008359113	Pribinacek velky banan. 125g	21.90	1	125	g		
4335896305936	schwarzwalder schinken 100g	32.90	1	100	g		
8593868003891	staropramen 500ml	19.90	6	500	ml		
5903856971485	svicky 6 ks	16.90	11	6	pcs		
4030700059851	tabak route 66	229.00	7	1	pcs		
8594004630223	TOMA Slice citron 2l	14.90	9	2	l		
8594026123567	Vesela sunka 100g	28.90	1	100	g		
8584004021404	!  Lina 60g arasidova horka	18.90	1	60	g		
8594007484786	! kmotrova cabajka	29.90	1	1	pcs		
8594002783792	! kunin selsky jogurt 200g	14.90	1	200	g		
8595006319024	! Kureci parky se syrem 300g	26.90	1	300	g		
8593803336442	! Madeta Zlata Niva 110g	32.90	1	110	g		
8594003029233	! Smetanovy jogurt 150g	12.90	1	150	g		
8594052743678	!!!EIDAM blocek 45% 250g	44.90	1	250	g		
